Pacific Decadal Oscillation (PDO)
Date,Value
200611,-0.81
200612,-0.42
200701,-0.69
200702,-0.71
200703,-1.10
200704,-0.46
200705,-0.29
200706,-0.07
200707,0.43
200708,0.09
200709,-0.97
200710,-2.33
200711,-1.46
200712,-0.87
200801,-1.50
200802,-1.46
200803,-1.26
200804,-1.79
200805,-1.62
200806,-1.85
200807,-1.96
200808,-1.85
200809,-1.87
200810,-1.90
200811,-1.59
200812,-1.31
200901,-1.81
200902,-1.78
200903,-2.06
200904,-2.23
200905,-1.32
200906,-0.73
200907,-0.71
200908,-0.49
200909,0.33
200910,-0.13
200911,-0.94
200912,-0.51
201001,0.05
201002,0.25
201003,-0.16
201004,-0.04
201005,-0.18
201006,-0.79
201007,-1.99
201008,-2.21
201009,-2.45
201010,-1.60
201011,-1.57
201012,-2.04
201101,-1.80
201102,-1.46
201103,-1.28
201104,-1.02
201105,-0.66
201106,-1.08
201107,-2.30
201108,-2.37
201109,-2.50
201110,-1.92
201111,-2.95
201112,-2.40
201201,-1.85
201202,-1.35
201203,-1.66
201204,-1.01
201205,-2.12
201206,-1.63
201207,-2.40
201208,-2.60
201209,-2.99
201210,-1.22
201211,-0.66
201212,-1.31
201301,-1.10
201302,-1.42
201303,-1.48
201304,-0.72
201305,-0.40
201306,-1.19
201307,-1.34
201308,-1.56
201309,-1.00
201310,-1.65
201311,-1.09
201312,-1.04
201401,-0.56
201402,-0.42
201403,0.30
201404,0.36
201405,1.26
201406,-0.29
201407,0.24
201408,0.33
201409,0.75
201410,1.42
201411,1.35
201412,1.85
201501,1.51
201502,1.52
201503,1.34
201504,0.90
201505,0.33
201506,0.82
201507,1.41
201508,0.98
201509,0.96
201510,0.83
201511,0.16
201512,0.28
201601,0.74
201602,1.30
201603,1.58
201604,1.73
201605,1.59
201606,0.85
201607,0.56
201608,-0.61
201609,-0.80
201610,-0.43
201611,0.96
201612,0.60
201701,-0.05
201702,-0.01
201703,0.10
201704,0.57
201705,0.45
201706,0.35
201707,-0.43
201708,-0.62
201709,-0.18
201710,-0.68
201711,-0.59
201712,-0.03
201801,0.40
201802,-0.08
201803,-0.71
201804,-0.81
201805,-0.45
201806,-0.65
201807,-0.01
201808,-0.21
201809,-0.35
201810,-0.57
201811,-0.70
201812,-0.21
201901,-0.33
201902,-0.72
201903,-0.33
201904,0.10
201905,0.27
201906,-0.05
201907,0.55
201908,0.01
201909,0.13
201910,-0.89
201911,-0.49
201912,0.00
202001,-1.41
202002,-1.47
202003,-1.75
202004,-1.31
202005,-0.51
202006,-0.76
202007,-0.90
202008,-1.32
202009,-1.03
202010,-0.62
202011,-1.58
202012,-0.98
202101,-0.63
